,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
1577,ELEC,TOLLWAY CENTER EAST UNIT,14675 Dallas Pkwy,,Dallas,TX,75254,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.946167,-96.82486,2022-10-30,183113,2022-10-30 01:00:05 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1594,ELEC,VISN 17/DALLAS VAMC / 549,4500 S Lancster Rd,,Dallas,TX,75216,,,E,,Private - Government only,Accepts fleet card,,,,,,1.0,,,Non-Networked,,GPS,32.694815,-96.789759,2021-02-22,184343,2021-08-04 00:01:52 UTC,FG,19.0,Department of Veterans Affairs,2021-01-15,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,VA,FED_GOV,,,,,,,$0.13 per kWh,,,,,,,,,,
1614,ELEC,Providence Towers,5001 Spring Valley,,Dallas,TX,75244,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.9399677,-96.8235845,2022-10-05,184859,2022-10-05 22:55:52 UTC,,,,2021-02-11,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
1665,ELEC,JLB BUILDERS ASH 1 GRD FL OF,4668 Amesbury Dr,,Dallas,TX,75206,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.841996,-96.763207,2022-10-30,187346,2022-10-30 01:11:31 UTC,,,,2021-04-10,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1684,ELEC,CAMDEN VICTORY STATION 1,2787 N Houston St,,Dallas,TX,75201,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.79242,-96.811822,2022-10-30,189231,2022-10-30 01:08:55 UTC,,,,2021-05-05,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
1686,ELEC,THE STACK TSDE EVC #1,2700 Commerce St,,Dallas,TX,75226,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.782826,-96.784387,2022-10-30,189289,2022-10-30 01:10:17 UTC,,,,2021-05-06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1687,ELEC,THE STACK TSDE EVC #2,2700 Commerce St,,Dallas,TX,75226,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.782844,-96.784296,2022-10-30,189290,2022-10-30 01:10:18 UTC,,,,2021-05-06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1724,ELEC,MAPLE GARAGE MAPLE GARAGE,5413 Maple Ave.,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.815584,-96.831592,2022-10-30,191051,2022-10-30 01:10:39 UTC,,,,2021-06-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1743,ELEC,OAP EV CHARGERS OAP #2,1724 Routh St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.792057,-96.795137,2022-10-30,192720,2022-10-30 01:12:50 UTC,,,,2021-07-10,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1744,ELEC,OAP EV CHARGERS OAP #3,1722 Routh St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.791967,-96.795126,2022-10-30,192721,2022-10-30 01:12:50 UTC,,,,2021-07-10,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1746,ELEC,MARRIOTT UPTOWN STATION 1,3005 Fairmount St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.79873,-96.80664,2022-10-30,192862,2022-10-30 01:12:05 UTC,,,,2021-07-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1747,ELEC,MARRIOTT UPTOWN STATION 2,3005 Fairmount St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.798687,-96.80671,2022-10-30,192863,2022-10-30 01:12:05 UTC,,,,2021-07-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1761,ELEC,FRANKFORD EF-1,7575 Frankford Rd,,Dallas,TX,75252,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.999152,-96.772665,2022-10-30,193182,2022-10-30 01:04:53 UTC,,,,2021-07-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1765,ELEC,Atelier Apartments,1801 North Pearl Street,,Dallas,TX,75201,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,4.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.7889366,-96.7994003,2022-10-30,193319,2022-10-30 00:34:18 UTC,,,,2021-07-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
1767,ELEC,Nove at Knox - 2nd Floor - South,3031 Oliver Street,"units under repair. Chargers are on the 
2nd floor at the South end of the 
garage.
",Dallas,TX,75205,,888-998-2546,T,2022-09-08,TEMPORARILY UNAVAILABLE (Public),MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.818181,-96.788766,2022-10-05,193373,2022-10-05 22:57:57 UTC,,,,2021-07-30,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
1768,ELEC,Nove at Knox - 2nd Floor - North,3031 Oliver Street,"Chargers are on the 2nd floor at the 
North end of the garage.
",Dallas,TX,75205,,888-998-2546,T,2022-09-08,TEMPORARILY UNAVAILABLE (Public),MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.818574,-96.78852,2022-10-05,193374,2022-10-05 22:57:57 UTC,,,,2021-07-30,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
1780,ELEC,The Hudson station location,4805 McKinney Avenue,,Dallas,TX,75205,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.8264014,-96.7860831,2022-10-30,193833,2022-10-30 00:34:18 UTC,,,,2021-08-13,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
1797,ELEC,2828 Apartments,2828 Woodside Street,,Dallas,TX,75204,,888-998-2546,E,,Private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.797956,-96.799705,2022-10-05,194649,2022-10-05 22:55:59 UTC,,,,2021-08-28,,,,,J1772,US,,,,Privé,,private,,,,,,,,,,Level 2: $0.39 per kWh,,,,,,,,,,
1805,ELEC,FOURTEEN5 Northeast Lot,14555 Dallas Parkway,,Dallas,TX,75254,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.9435587,-96.8229379,2022-10-30,194896,2022-10-30 00:34:18 UTC,,,,2021-09-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
1807,ELEC,GTC BUILDING 1 GTC BUILDING 1,3427 Cedar Springs Rd,,Dallas,TX,75219,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.805955,-96.805674,2022-10-30,195101,2022-10-30 01:14:14 UTC,,,,2021-09-04,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1813,ELEC,Cypress of Trinity Grove,320 singleton boulevard,,Dallas,TX,75212,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.7775001,-96.8309309,2022-10-30,195370,2022-10-30 00:34:18 UTC,,,,2021-09-06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
1818,ELEC,Parkview at 1920 McKinney location,"1920 McKinney Ave, Suite 110",,Dallas,TX,75201,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.7901241,-96.8035094,2022-10-30,195631,2022-10-30 00:34:18 UTC,,,,2021-09-08,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"$0.00-$10.00/Hr Variable Parking Fee, $0.39-$0.49/kWh Variable Energy Fee",,,,,,,,,,
1832,ELEC,505 N ERVAY LEFT STATION,505 N Ervay St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.784001,-96.799198,2022-10-30,196007,2022-10-30 01:11:00 UTC,,,,2021-09-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1833,ELEC,505 N ERVAY RIGHT STATION,505 N Ervay St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.784137,-96.799393,2022-10-30,196008,2022-10-30 01:11:00 UTC,,,,2021-09-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1869,ELEC,The Addison,14951 Dallas Pkwy,,Dallas,TX,75254,,,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,4.0,,,Non-Networked,,GPS,32.9529579853803,-96.8236362294615,2021-11-04,197459,2022-02-10 19:42:29 UTC,P,,,2021-10-04,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MULTI_UNIT_DWELLING,,,,,,,,,,,,,,,,,True
1875,ELEC,Ardan West Village 3rd Floor,2975 Blackburn Street,"Chargers under repair.

The chargers at this location are under 
repairs.
",Dallas,TX,75204,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,9.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.807385,-96.794529,2022-10-05,197578,2022-10-05 22:56:36 UTC,,,,2021-10-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
1876,ELEC,Ardan West Village 2nd Floor,2975 Blackburn Street,".

The chargers at this location are under 
repairs.
",Dallas,TX,75204,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,9.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.807445,-96.794601,2022-10-05,197579,2022-10-05 22:56:36 UTC,,,,2021-10-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
1888,ELEC,REAL ESTATE OPS HQ 5ATT,301 S Akard St,,Dallas,TX,75202,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.778679,-96.799669,2022-10-30,197826,2022-10-30 01:05:41 UTC,,,,2021-10-16,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1893,ELEC,2401CS#01 2401 CS-1,2401 Cedar Springs Rd Suite 110,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.797347,-96.805923,2022-10-30,198120,2022-10-30 01:05:16 UTC,,,,2021-10-23,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1898,ELEC,PARK PLACE DALL CLIENT STATION,Lemmon at Haggar - N - NS,,Dallas,TX,75209,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.833148,-96.829596,2022-10-30,199082,2022-10-30 01:13:06 UTC,,,,2021-10-26,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1912,ELEC,Gables Villa Rosa,2650 Cedar Springs Road,"Located in the visitor parking garage - 
access via the circular driveway off 
Cedar Springs Road
",Dallas,TX,75201,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.80017,-96.80479,2022-10-05,200722,2022-10-05 22:55:20 UTC,,,,2021-11-08,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
1917,ELEC,Gables Park 17,1700 Cedar Springs Road,"Located on the ground level in the SW 
corner of the garage
",Dallas,TX,75202,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.788943,-96.805579,2022-10-05,200963,2022-10-05 22:55:31 UTC,,,,2021-11-10,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
1925,ELEC,The Shops at Park Lane - Tesla Supercharger,8080 Park Ln,,Dallas,TX,75231,,877-798-3752,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,16.0,,Tesla,https://www.tesla.com/supercharger,GPS,32.867639,-96.767245,2021-12-09,201317,2022-02-10 19:42:29 UTC,P,,,2021-11-14,,,,,TESLA,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,SHOPPING_MALL,,,,,,,,,,,,,,,,,False
1935,ELEC,The Monterey by Windsor location,3930 McKinney Avenue,,Dallas,TX,75204,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.8095625,-96.7933303,2022-10-30,201547,2022-10-30 00:34:18 UTC,,,,2021-11-24,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
1971,ELEC,MONTEREY STATION 2,3930 McKinney Ave,,Dallas,TX,75204,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.809532,-96.794158,2022-10-30,202951,2022-10-30 01:14:56 UTC,,,,2021-12-23,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2015,ELEC,West Love (South Parking),2345 West Mockingbird Lane,,Dallas,TX,75235,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.827446,-96.846656,2022-10-05,205427,2022-10-05 22:58:42 UTC,,,,2022-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
2016,ELEC,West Love (North Parking),2345 West Mockingbird Lane,,Dallas,TX,75235,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.827844,-96.847269,2022-10-05,205428,2022-10-05 22:58:42 UTC,,,,2022-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
2017,ELEC,The Lookout,9330 Lookout Pte,,Dallas,TX,75231,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.8776147,-96.7327995,2022-10-30,205436,2022-10-30 00:34:18 UTC,,,,2022-01-28,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"$0.20/Hr Parking Fee , $0.10/kWh Energy Fee",,,,,,,,,,
2028,ELEC,OAP EV CHARGERS OAP #1,1722 Routh St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.79232,-96.795444,2022-10-30,205987,2022-10-30 01:13:07 UTC,,,,2022-02-08,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2041,ELEC,The Vincent,4607 Timberglen Rd,,Dallas,TX,75287,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,33.0039587,-96.8283586,2022-10-30,206466,2022-10-30 00:34:18 UTC,,,,2022-02-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
2072,ELEC,PRESTON COMMONS PC STATION,8115 Preston Rd,,Dallas,TX,75225,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.861156,-96.80556,2022-10-30,207490,2022-10-30 01:17:10 UTC,,,,2022-03-03,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2085,ELEC,CHARGING  A OAK CLIFF GC #1,702 E Jefferson Blvd,,Dallas,TX,75203,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.748014,-96.813711,2022-10-30,207725,2022-10-30 01:14:01 UTC,,,,2022-03-08,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2086,ELEC,CHARGING  A OAK CLIFF GC #2,128 S Lancaster Ave,,Dallas,TX,75203,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.747481,-96.813679,2022-10-30,207726,2022-10-30 01:14:01 UTC,,,,2022-03-08,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2087,ELEC,CHARGING  A OAK CLIFF GC #3,702 E Jefferson Blvd,,Dallas,TX,75203,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.748014,-96.813701,2022-10-30,207727,2022-10-30 01:14:01 UTC,,,,2022-03-08,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2093,ELEC,DALLAS COUNTY G ALLEN GARAGE,601 Commerce St Underground Parking Garage,,Dallas,TX,75202,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.778909,-96.806958,2022-10-30,211734,2022-10-30 01:09:50 UTC,,,,2022-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2151,ELEC,2401CS#01 2401CS#02,2401 Cedar Springs Rd,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.797348,-96.805951,2022-10-30,213846,2022-10-30 01:18:56 UTC,,,,2022-04-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2181,ELEC,Vance @ Bishop Union,111 West Davis Street,,Dallas,TX,75208,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.749876289,-96.82332714,2022-10-05,215008,2022-10-05 22:57:23 UTC,,,,2022-04-26,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
2185,ELEC,The Shops at Park Lane - DXL,8080 Park Ln #770,,Dallas,TX,75231,,888-264-2208,E,,Public - Credit card at all times,7am-1am daily,A D Debit M V,,,,,1.0,,,Volta,https://voltacharging.com/,GPS,32.87054082,-96.7692372112234,2022-05-05,216374,2022-05-05 20:22:04 UTC,P,,,2022-04-27,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,False
2186,ELEC,The Shops at Park Lane - J Crew,8080 Park Ln #770,,Dallas,TX,75231,,888-264-2208,E,,Public - Credit card at all times,7am-1am daily,A D Debit M V,,,,,1.0,,,Volta,https://voltacharging.com/,GPS,32.8700459288745,-96.769099349525,2022-05-05,216375,2022-05-05 20:22:04 UTC,P,,,2022-04-27,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,False
2187,ELEC,The Shops at Park Lane - Bloomingdales,8080 Park Ln #770,,Dallas,TX,75231,,888-264-2208,E,,Public - Credit card at all times,7am-1am daily,A D Debit M V,,,,,2.0,,,Volta,https://voltacharging.com/,GPS,32.8687741997213,-96.7678891427517,2022-05-05,216376,2022-05-05 20:22:04 UTC,P,,,2022-04-27,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,False
2196,ELEC,One Galleria Office Towers,13355 Noel Rd,"First Level of Office Parking Garage 3
",Dallas,TX,75240,,888-998-2546,E,,Private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.927983,-96.818709,2022-10-05,216509,2022-10-05 22:56:54 UTC,,,,2022-05-03,,,,,J1772,US,,,,Privé,,private,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
2209,ELEC,Resident Hub,14181 Noel Rd.,,Dallas,TX,75254,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.9412834,-96.8195667,2022-10-30,217424,2022-10-30 00:34:18 UTC,,,,2022-05-13,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
2223,ELEC,B&G Warehouse Services,496 South Good Latimer Parking,,Dallas,TX,75226,,,P,2022-09-01,PLANNED - not yet accessible (Public),24 hours daily,,,,,,,2.0,,Non-Networked,,200-5,32.782974,-96.776506,2022-06-14,218356,2022-06-14 16:24:51 UTC,P,,,,,,,,CHADEMO J1772COMBO,US,,,,PRÉVU - pas encore accessible (Public),,public,,,PARKING_GARAGE,,,,,,,,,,,,,,,,,False
2225,ELEC,BSH FAST CHARGER 2,39444 Lyndon B Johnson Fwy,,Dallas,TX,75232,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.642868,-96.849894,2022-10-30,218505,2022-10-30 01:19:24 UTC,,,,2022-05-19,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2228,ELEC,GTC BUILDING 1 GREYSTAR STN 2,3427 Cedar Springs Rd,,Dallas,TX,75219,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.805956,-96.805681,2022-10-30,218954,2022-10-30 01:18:49 UTC,,,,2022-05-21,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2266,ELEC,BRIARGROVE BG-1,3939 Briargrove Ln,,Dallas,TX,75287,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.993825,-96.845936,2022-10-30,221254,2022-10-30 01:19:58 UTC,,,,2022-06-14,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2267,ELEC,CARROLLTON PARK CP-1,18211 Kelly Blvd,,Dallas,TX,75287,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.000176,-96.866727,2022-10-30,221257,2022-10-30 01:19:59 UTC,,,,2022-06-14,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2268,ELEC,COD CITY HALL STATION 1,1500 Marilla Street,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.776026,-96.795991,2022-10-30,221329,2022-10-30 00:45:23 UTC,,,,2022-06-16,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2269,ELEC,WHOLE FOODS MKT STATION 2,2510 McKinney Ave,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.795784,-96.801462,2022-10-30,221427,2022-10-30 00:46:23 UTC,,,,2022-06-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
